slug,name,category,short_desc,long_desc,price_pkr,compare_at_pkr,image_url,badge,in_stock,brand,gtin,mpn,condition_gs,availability_gs,google_product_category,product_type,currency
ergonomic-cervical-pillow,Ergonomic Cervical Pillow,Clinical Equipment,"Memory foam contoured for optimal neck support.","Contoured memory foam pillow designed with our physiotherapy team to maintain cervical alignment during sleep and reduce neck/shoulder tension.",24000,,https://images.unsplash.com/photo-1584100936595-c0654b55a2e2?w=900&q=80,,true,Physionnisa,,ECP-01,new,in stock,"Furniture > Bedding > Pillows","Clinical Equipment > Support",PKR
lumbar-support-cushion,Lumbar Support Cushion,Clinical Equipment,"Attaches to any chair for better office posture.","An adjustable-strap lumbar cushion that attaches to office, car, or dining chairs, reducing lower back strain during long periods of sitting.",10700,,https://images.unsplash.com/photo-1519824145371-296894a0daa9?w=900&q=80,,true,Physionnisa,,LSC-01,new,in stock,"Furniture > Chair Accessories > Chair Cushions","Clinical Equipment > Support",PKR
hand-dynamometer,Hand Dynamometer,Clinical Equipment,"Digital grip strength tester for tracking recovery progress.","A clinical-accuracy digital dynamometer used to measure and track grip strength — useful for post-injury rehab and general strength monitoring.",34000,,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=900&q=80,,true,Physionnisa,,HD-DIGI-01,new,in stock,"Health & Beauty > Health Care > Medical Supplies > Diagnostic Equipment","Clinical Equipment > Assessment",PKR
stability-disc,Stability Disc,Clinical Equipment,"Balance cushion for core and ankle rehabilitation.","An inflatable wobble cushion used in balance training, core activation, and ankle/knee rehabilitation protocols.",9600,,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=900&q=80,,true,Physionnisa,,SD-01,new,in stock,"Sporting Goods > Exercise & Fitness > Balance Trainers","Clinical Equipment > Balance",PKR
pulse-oximeter-clinical,Pulse Oximeter Clinical,Wellness & Supplements,"High-accuracy SpO2 and heart rate monitor.","A fingertip pulse oximeter with clinical-grade accuracy for monitoring oxygen saturation and heart rate during recovery and exercise.",15500,,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=900&q=80,,true,Physionnisa,,PO-CLIN-01,new,in stock,"Health & Beauty > Health Care > Medical Supplies > Diagnostic Equipment","Wellness & Supplements > Monitoring",PKR
magnesium-flakes,Magnesium Flakes (1kg),Wellness & Supplements,"Pure Zechstein flakes for muscle relaxation baths.","Pure Zechstein magnesium chloride flakes for a soothing muscle-relaxation soak — a popular add-on for post-session recovery at home.",6200,,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=900&q=80,,true,Physionnisa,,MG-FLAKE-1KG,new,in stock,"Health & Beauty > Personal Care > Bath & Body > Bath Additives","Wellness & Supplements > Recovery",PKR
anti-inflammatory-herbal-tea,Anti-Inflammatory Herbal Tea,Wellness & Supplements,"Turmeric and ginger blend for joint support.","A caffeine-free turmeric and ginger herbal blend, formulated to support joint comfort and reduce everyday inflammation.",4400,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=900&q=80,,true,Physionnisa,,AIT-01,new,in stock,"Food, Beverages & Tobacco > Beverages > Tea & Infusions","Wellness & Supplements > Nutrition",PKR
womens-daily-vitamin-pack,Women's Daily Vitamin Pack,Wellness & Supplements,"30-day supply of clinical-grade bone and joint support.","A 30-day supply of calcium, vitamin D3, and joint-support nutrients formulated specifically for women in active recovery or postpartum stages.",13500,,https://images.unsplash.com/photo-1518310952931-b1de897abd40?w=900&q=80,,true,Physionnisa,,WDV-30,new,in stock,"Health & Beauty > Health Care > Vitamins & Supplements","Wellness & Supplements > Vitamins",PKR
arnica-healing-balm,Arnica Healing Balm,Wellness & Supplements,"Organic relief for bruising and muscle aches.","A topical arnica-based balm used post-treatment to ease bruising, swelling, and muscle soreness. Fragrance-free, dermatologist tested.",5400,,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=900&q=80,,true,Physionnisa,,AHB-01,new,in stock,"Health & Beauty > Personal Care > Cosmetics > Skin Care > Body Care","Wellness & Supplements > Topicals",PKR
omega-3-high-potency,Omega-3 High Potency,Wellness & Supplements,"Clean-sourced EPA/DHA for joint health.","High-potency, third-party-tested fish oil capsules delivering clinically relevant EPA/DHA doses to support joint and cardiovascular health.",9800,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=900&q=80,,true,Physionnisa,,OM3-HP-60,new,in stock,"Health & Beauty > Health Care > Vitamins & Supplements","Wellness & Supplements > Vitamins",PKR
